city_id,city_x,city_y,text_region_filename,distance_from_city,transcribed_text,confidence,notes
24,5618,4052,city0024_region0,9.2,,,
24,5618,4052,city0024_region1,31.0,,,
24,5618,4052,city0024_region2,45.2,,,
25,11861,5588,city0025_region0,9.5,,,
25,11861,5588,city0025_region1,70.2,,,
25,11861,5588,city0025_region2,88.6,,,
26,10413,2534,city0026_region0,10.4,,,
26,10413,2534,city0026_region1,63.6,,,
26,10413,2534,city0026_region2,74.6,,,
27,7896,4510,city0027_region0,8.5,,,
27,7896,4510,city0027_region1,11.4,,,
27,7896,4510,city0027_region2,42.0,,,
28,5962,3916,city0028_region0,5.0,,,
28,5962,3916,city0028_region1,8.1,,,
28,5962,3916,city0028_region2,45.8,,,
29,7051,3953,city0029_region0,14.1,,,
29,7051,3953,city0029_region1,61.1,,,
29,7051,3953,city0029_region2,72.2,,,
30,10029,4701,city0030_region0,21.0,,,
30,10029,4701,city0030_region1,107.0,,,
30,10029,4701,city0030_region2,107.0,,,
31,8974,4581,city0031_region0,15.3,,,
31,8974,4581,city0031_region1,65.6,,,
31,8974,4581,city0031_region2,88.8,,,
32,9453,874,city0032_region0,17.0,,,
33,5673,5182,city0033_region0,17.2,,,
33,5673,5182,city0033_region1,30.6,,,
33,5673,5182,city0033_region2,117.5,,,
34,10961,5420,city0034_region0,30.4,,,
34,10961,5420,city0034_region1,79.9,,,
34,10961,5420,city0034_region2,91.2,,,
35,12104,2383,city0035_region0,15.3,,,
35,12104,2383,city0035_region1,42.5,,,
35,12104,2383,city0035_region2,74.7,,,
36,7139,4780,city0036_region0,9.5,,,
36,7139,4780,city0036_region1,58.0,,,
36,7139,4780,city0036_region2,70.7,,,
37,11158,3954,city0037_region0,6.0,,,
37,11158,3954,city0037_region1,9.2,,,
37,11158,3954,city0037_region2,87.2,,,
38,5279,3306,city0038_region0,13.4,,,
38,5279,3306,city0038_region1,19.6,,,
38,5279,3306,city0038_region2,66.7,,,
39,6336,3875,city0039_region0,0.0,,,
39,6336,3875,city0039_region1,14.9,,,
39,6336,3875,city0039_region2,85.5,,,
40,10546,1571,city0040_region0,6.4,,,
40,10546,1571,city0040_region1,28.2,,,
40,10546,1571,city0040_region2,34.2,,,
41,6632,4870,city0041_region0,16.6,,,
41,6632,4870,city0041_region1,65.9,,,
41,6632,4870,city0041_region2,66.0,,,
42,7179,4386,city0042_region0,7.1,,,
42,7179,4386,city0042_region1,11.3,,,
42,7179,4386,city0042_region2,85.9,,,
43,5542,3694,city0043_region0,14.9,,,
43,5542,3694,city0043_region1,24.0,,,
43,5542,3694,city0043_region2,48.5,,,
44,10128,2040,city0044_region0,1.4,,,
44,10128,2040,city0044_region1,23.4,,,
44,10128,2040,city0044_region2,37.8,,,
45,6942,3723,city0045_region0,10.0,,,
45,6942,3723,city0045_region1,47.4,,,
45,6942,3723,city0045_region2,51.4,,,
46,10009,3860,city0046_region0,6.0,,,
46,10009,3860,city0046_region1,41.6,,,
46,10009,3860,city0046_region2,43.2,,,
47,11167,4216,city0047_region0,13.5,,,
47,11167,4216,city0047_region1,23.3,,,
47,11167,4216,city0047_region2,33.9,,,
48,7965,5023,city0048_region0,1.0,,,
48,7965,5023,city0048_region1,8.2,,,
48,7965,5023,city0048_region2,105.1,,,
49,10207,3382,city0049_region0,18.4,,,
49,10207,3382,city0049_region1,37.0,,,
49,10207,3382,city0049_region2,55.3,,,
50,11060,2349,city0050_region0,11.2,,,
50,11060,2349,city0050_region1,37.5,,,
50,11060,2349,city0050_region2,56.5,,,
51,5515,3363,city0051_region0,17.5,,,
51,5515,3363,city0051_region1,27.2,,,
51,5515,3363,city0051_region2,41.0,,,
52,11072,4100,city0052_region0,13.6,,,
52,11072,4100,city0052_region1,45.1,,,
52,11072,4100,city0052_region2,72.5,,,
53,8049,4429,city0053_region0,6.4,,,
53,8049,4429,city0053_region1,43.5,,,
53,8049,4429,city0053_region2,70.3,,,
54,11251,2243,city0054_region0,8.5,,,
54,11251,2243,city0054_region1,73.2,,,
54,11251,2243,city0054_region2,85.9,,,
55,11270,3962,city0055_region0,10.3,,,
