city_id,city_x,city_y,text_crop_filename,distance_from_city,transcribed_name
158,11340,3014,city0158_region0,18.4,
159,5105,3046,city0159_region0,29.2,
160,3785,4205,city0160_region0,24.2,
161,6629,3553,city0161_region0,4.0,
162,11764,2397,city0162_region0,10.0,
163,4247,5121,city0163_region0,7.2,
164,9860,4000,city0164_region0,12.7,
165,8348,5236,city0165_region0,8.2,
166,11403,3832,city0166_region0,15.8,
167,8717,2212,city0167_region0,13.5,
168,10078,4522,city0168_region0,10.2,
169,8146,4668,city0169_region0,9.4,
170,11173,2357,city0170_region0,14.4,
171,5257,3125,city0171_region0,1.0,
172,3286,748,city0172_region0,49.7,
173,6285,2011,city0173_region0,23.3,
174,1050,4219,city0174_region0,5.0,
175,6087,1154,city0175_region0,26.9,
176,3124,2352,city0176_region0,24.5,
177,11781,1434,city0177_region0,29.1,
178,10114,4864,city0178_region0,17.2,
179,9849,4565,city0179_region0,11.4,
180,2694,4460,city0180_region0,11.2,
181,8854,4411,city0181_region0,9.2,
182,5915,2394,city0182_region0,7.2,
183,11191,5428,city0183_region0,48.3,
184,10528,1387,city0184_region0,13.0,
185,6733,2704,city0185_region0,10.4,
186,7896,5440,city0186_region0,13.4,
187,4896,3355,city0187_region0,22.7,
188,7436,3695,city0188_region0,4.1,
189,1672,4853,city0189_region0,21.9,
190,2809,3028,city0190_region0,23.3,
191,11205,3290,city0191_region0,33.8,
192,11012,4484,city0192_region0,1.0,
193,11878,3456,city0193_region0,16.6,
194,9163,5018,city0194_region0,5.1,
195,1336,3781,city0195_region0,8.0,
196,7826,4865,city0196_region0,2.2,
197,6948,3454,city0197_region0,25.3,
198,3855,2275,city0198_region0,0.0,
199,5821,4703,city0199_region0,23.8,
200,9856,3830,city0200_region0,27.9,
201,12355,592,city0201_region0,21.9,
202,10207,3853,city0202_region0,14.9,
203,6079,1814,city0203_region0,51.9,
204,8406,3972,city0204_region0,9.5,
205,554,2611,city0205_region0,25.5,
206,5151,2976,city0206_region0,8.9,
207,7386,4884,city0207_region0,21.0,
208,4915,1634,city0208_region0,2.8,
209,5176,2559,city0209_region0,33.5,
210,11413,4255,city0210_region0,27.5,
211,11373,3719,city0211_region0,39.1,
212,1394,1659,city0212_region0,7.8,
213,11882,3272,city0213_region0,10.6,
214,7338,3655,city0214_region0,8.6,
215,5238,4401,city0215_region0,1.0,
216,6913,2554,city0216_region0,11.2,
217,3505,4201,city0217_region0,10.8,
218,11699,3587,city0218_region0,28.2,
219,11957,4421,city0219_region0,12.6,
220,4315,2540,city0220_region0,8.5,
221,10588,3845,city0221_region0,8.1,
222,2996,3449,city0222_region0,46.9,
223,5687,2738,city0223_region0,23.8,
224,11633,2389,city0224_region0,21.2,
225,12207,3662,city0225_region0,2.2,
226,1656,846,city0226_region0,0.0,
227,6256,3648,city0227_region0,7.1,
228,11330,4513,city0228_region0,22.8,
229,10000,3528,city0229_region0,31.3,
230,9530,2134,city0230_region0,2.2,
231,8558,3957,city0231_region0,12.0,
232,1552,4510,city0232_region0,7.8,
233,10969,4820,city0233_region0,42.2,
234,10348,1486,city0234_region0,31.0,
235,8836,4725,city0235_region0,8.2,
236,10005,4808,city0236_region0,21.0,
237,6994,2666,city0237_region0,16.1,
238,7607,4752,city0238_region0,22.8,
239,6336,1810,city0239_region0,9.5,
240,9733,1436,city0240_region0,9.5,
241,4217,2628,city0241_region0,30.8,
242,8494,4126,city0242_region0,9.4,
243,5332,1891,city0243_region0,6.7,
244,11372,3938,city0244_region0,18.0,
245,3341,2471,city0245_region0,21.9,
246,10607,4353,city0246_region0,14.4,
247,6387,4940,city0247_region0,7.3,
248,5186,2446,city0248_region0,14.1,
249,2546,3132,city0249_region0,6.1,
250,6992,3215,city0250_region0,24.2,
251,12057,3212,city0251_region0,21.6,
252,3560,3620,city0252_region0,27.5,
253,3153,3341,city0253_region0,11.3,
254,9347,4574,city0254_region0,8.9,
255,9573,3359,city0255_region0,20.2,
256,7959,4779,city0256_region0,8.5,
257,9506,3727,city0257_region0,6.0,
258,4778,1737,city0258_region0,1.0,
259,11371,2512,city0259_region0,22.5,
260,568,3989,city0260_region0,17.1,
261,10903,4532,city0261_region0,9.8,
262,7319,3816,city0262_region0,1.0,
263,3180,2927,city0263_region0,43.3,
264,2923,3091,city0264_region0,22.5,
265,5998,4449,city0265_region0,52.0,
266,7523,3864,city0266_region0,10.0,
267,9534,3889,city0267_region0,1.4,
268,11099,4280,city0268_region0,9.2,
269,1308,4440,city0269_region0,16.6,
270,7506,2357,city0270_region0,14.9,
271,2912,2670,city0271_region0,18.1,
272,5215,4510,city0272_region0,8.1,
273,10319,2930,city0273_region0,0.0,
274,11571,3289,city0274_region0,2.0,
275,411,2168,city0275_region0,10.8,
276,9571,1625,city0276_region0,9.2,
277,5594,1519,city0277_region0,23.4,
278,8312,4243,city0278_region0,26.2,
279,3453,3628,city0279_region0,9.1,
280,9092,656,city0280_region0,8.1,
281,10014,3961,city0281_region0,12.8,
282,2217,3048,city0282_region0,12.2,
283,6491,4264,city0283_region0,26.9,
284,11394,4761,city0284_region0,11.3,
285,11897,4740,city0285_region0,21.5,
286,3302,909,city0286_region0,6.3,
287,7690,5694,city0287_region0,4.1,
288,5599,1288,city0288_region0,18.4,
289,10643,3286,city0289_region0,32.4,
290,9729,5419,city0290_region0,8.1,
291,3619,810,city0291_region0,36.6,
292,2806,2738,city0292_region0,12.0,
293,10701,5326,city0293_region0,28.9,
294,9263,1412,city0294_region0,2.8,
295,5346,3243,city0295_region0,22.4,
296,5713,3302,city0296_region0,31.4,
297,11537,4398,city0297_region0,8.1,
298,12577,3020,city0298_region0,6.1,
299,10279,3741,city0299_region0,35.8,
300,9725,3699,city0300_region0,5.1,
301,10996,4136,city0301_region0,17.0,
302,7197,3410,city0302_region0,26.9,
303,7921,4609,city0303_region0,45.5,
304,10736,4209,city0304_region0,24.0,
305,3199,4991,city0305_region0,35.4,
306,8862,4041,city0306_region0,24.4,
